,avg_final_grade,avg_mid_grade,avg_absences,failures_math,studytime_math,G1_math,G2_math,G3_math,G1_por,G2_por,G3_por
avg_final_grade,1.0,0.9226561316181331,-0.09405305004111705,-0.4399483760544872,0.18557086078677673,0.8143646279884708,0.8643471394852619,0.9208736981184801,0.7144250322424673,0.775518222607995,0.7842793413051722
avg_mid_grade,0.9226561316181331,1.0,-0.13658886919088734,-0.4237803987656008,0.2166196972586351,0.9010958359158909,0.8928531675682202,0.8250023300920761,0.8175173016476662,0.838966504497008,0.7628429947004431
avg_absences,-0.09405305004111705,-0.13658886919088734,1.0,0.0961192696436315,-0.11926396020799865,-0.10274592098326245,-0.10448244928012318,-0.05073162871810534,-0.11611300320657686,-0.1647026393265154,-0.13086069918968696
failures_math,-0.4399483760544872,-0.4237803987656008,0.0961192696436315,1.0,-0.19899012211218225,-0.3949111131343682,-0.3849417367230164,-0.38074147844557116,-0.30609693583209585,-0.36943272919105385,-0.3838642135955768
studytime_math,0.18557086078677673,0.2166196972586351,-0.11926396020799865,-0.19899012211218225,1.0,0.1536263390899918,0.1293428673799027,0.09133868385089496,0.24705854537353938,0.2651466926689134,0.27212963084801217
G1_math,0.8143646279884708,0.9010958359158909,-0.10274592098326245,-0.3949111131343682,0.1536263390899918,1.0,0.8603951650353312,0.8051287046649038,0.5680081161002422,0.588829103414454,0.5508437152356787
G2_math,0.8643471394852619,0.8928531675682202,-0.10448244928012318,-0.3849417367230164,0.1293428673799027,0.8603951650353312,1.0,0.9030267114197175,0.525944359149922,0.5696564252388412,0.5074996315294119
G3_math,0.9208736981184801,0.8250023300920761,-0.05073162871810534,-0.38074147844557116,0.09133868385089496,0.8051287046649038,0.9030267114197175,1.0,0.49530473911945994,0.5355515231214364,0.4803493619410263
G1_por,0.7144250322424673,0.8175173016476662,-0.11611300320657686,-0.30609693583209585,0.24705854537353938,0.5680081161002422,0.525944359149922,0.49530473911945994,1.0,0.8879061456816026,0.8190481972257828
G2_por,0.775518222607995,0.838966504497008,-0.1647026393265154,-0.36943272919105385,0.2651466926689134,0.588829103414454,0.5696564252388412,0.5355515231214364,0.8879061456816026,1.0,0.8924436450757498
G3_por,0.7842793413051722,0.7628429947004431,-0.13086069918968696,-0.3838642135955768,0.27212963084801217,0.5508437152356787,0.5074996315294119,0.4803493619410263,0.8190481972257828,0.8924436450757498,1.0
