Particulars,Agricultural Production Foodgrains Rice Volume Andhra Pradesh,Agricultural Production Foodgrains Rice Volume Punjab,Agricultural Production Foodgrains Rice Volume Uttar Pradesh,Agricultural Production Foodgrains Rice Volume West Bengal,Agricultural Production Foodgrains Wheat Volume Punjab,Agricultural Production Foodgrains Wheat Volume Uttar Pradesh,Agricultural Production Plantation Crops Coconut,Agriculture Production Foodgrains Yield Other Cash Crops Onion,Agriculture Production Foodgrains Yield Other Cash Crops Potato,Agriculture Production Foodgrains Yield Other Cash Crops Sugarcane
Agricultural Production Foodgrains Rice Volume Andhra Pradesh,1.0,0.3277127770044992,0.2464355208441772,-0.37135223560731745,0.6189352179861921,0.5058449153924933,0.9999017683095346,0.9697465051464474,-0.8377423193676071,0.018046298031075946
Agricultural Production Foodgrains Rice Volume Punjab,0.3277127770044992,1.0,0.2252968741809363,-0.08721706178218695,0.519358023397608,0.62787183813512,0.43906030012989244,0.6070102951039015,-0.47304210516771605,0.17097057031871685
Agricultural Production Foodgrains Rice Volume Uttar Pradesh,0.2464355208441772,0.2252968741809363,1.0,0.13113258674753578,0.6311150361997616,0.7775534784898903,-0.288235956582748,0.35852131577315105,-0.2574634421115854,0.629805004341597
Agricultural Production Foodgrains Rice Volume West Bengal,-0.37135223560731745,-0.08721706178218695,0.13113258674753578,1.0,-0.2877422554279044,-0.31396248315381203,-0.6417520597659293,0.17452881118487798,-0.25476265736847115,-0.36178243084770195
Agricultural Production Foodgrains Wheat Volume Punjab,0.6189352179861921,0.519358023397608,0.6311150361997616,-0.2877422554279044,1.0,0.85566578500032,-0.2625045075690554,0.724869330976437,-0.5742561429878108,0.5789998554085174
Agricultural Production Foodgrains Wheat Volume Uttar Pradesh,0.5058449153924933,0.62787183813512,0.7775534784898903,-0.31396248315381203,0.85566578500032,1.0,-0.22659299350313453,0.656992578408095,-0.578937529625977,0.7101266355158793
Agricultural Production Plantation Crops Coconut,0.9999017683095346,0.43906030012989244,-0.288235956582748,-0.6417520597659293,-0.2625045075690554,-0.22659299350313453,1.0,0.950123152024374,-0.7401812096949787,-0.866309313374201
Agriculture Production Foodgrains Yield Other Cash Crops Onion,0.9697465051464474,0.6070102951039015,0.35852131577315105,0.17452881118487798,0.724869330976437,0.656992578408095,0.950123152024374,1.0,-0.9199481510455653,-0.5227212658984891
Agriculture Production Foodgrains Yield Other Cash Crops Potato,-0.8377423193676071,-0.47304210516771605,-0.2574634421115854,-0.25476265736847115,-0.5742561429878108,-0.578937529625977,-0.7401812096949787,-0.9199481510455653,1.0,0.584045139859039
Agriculture Production Foodgrains Yield Other Cash Crops Sugarcane,0.018046298031075946,0.17097057031871685,0.629805004341597,-0.36178243084770195,0.5789998554085174,0.7101266355158793,-0.866309313374201,-0.5227212658984891,0.584045139859039,1.0
