Particulars,Frequency,Unit,Year,Value
Agricultural Production Plantation Crops Potato,"Annual, Ending mar Of Each Year",Ton mn,2003,23.3
Agricultural Production Plantation Crops Onion,"Annual, Ending mar Of Each Year",Ton mn,2003,4.21
Agricultural Production Plantation Crops Tobacco,"Annual, Ending mar Of Each Year",Ton mn,2003,0.5
Agricultural Production Plantation Crops Coconut,"Annual, Ending mar Of Each Year",Unit mn,2003,12535.0
Agricultural Production Plantation Crops Cashewnut,"Annual, Ending mar Of Each Year",Ton mn,2003,0.5
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Total,"Annual, Ending mar Of Each Year",ha mn,2003,122.0
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Kharif,"Annual, Ending mar Of Each Year",ha mn,2003,74.1
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Rabi,"Annual, Ending mar Of Each Year",ha mn,2003,47.9
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Total,"Annual, Ending mar Of Each Year",ha mn,2003,29.8
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",ha mn,2003,23.1
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",ha mn,2003,6.7
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rice Total,"Annual, Ending mar Of Each Year",ha mn,2003,44.8
Agricultural Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rice Kharif,"Annual, Ending mar Of Each Year",ha mn,2003,40.6
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rice Rabi,"Annual, Ending mar Of Each Year",ha mn,2003,4.2
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Wheat Rabi,"Annual, Ending mar Of Each Year",ha mn,2003,26.4
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Jowar Total,"Annual, Ending mar Of Each Year",ha mn,2003,10.0
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Jowar Kharif,"Annual, Ending mar Of Each Year",ha mn,2003,4.7
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Jowar Rabi,"Annual, Ending mar Of Each Year",ha mn,2003,5.3
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Bajra Kharif,"Annual, Ending mar Of Each Year",ha mn,2003,9.4
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Maize Total,"Annual, Ending mar Of Each Year",ha mn,2003,6.6
