Particulars,Frequency,Unit,Year,Value,outlier
Agricultural Production Plantation Crops Coconut,"Annual, Ending mar Of Each Year",Unit mn,2003,12535.0,True
Agriculture Production Foodgrains Yield Other Cash Crops Onion,"Annual, Ending mar Of Each Year",kg/ha,2003,10416.0,True
Agriculture Production Foodgrains Yield Other Cash Crops Potato,"Annual, Ending mar Of Each Year",kg/ha,2003,18858.0,True
Agriculture Production Foodgrains Yield Other Cash Crops Sugarcane,"Annual, Ending mar Of Each Year",kg/ha,2003,69202.0,True
Agricultural Production Plantation Crops Coconut,"Annual, Ending mar Of Each Year",Unit mn,2004,12178.0,True
Agriculture Production Foodgrains Yield Other Cash Crops Onion,"Annual, Ending mar Of Each Year",kg/ha,2004,10540.0,True
Agriculture Production Foodgrains Yield Other Cash Crops Potato,"Annual, Ending mar Of Each Year",kg/ha,2004,18343.0,True
Agriculture Production Foodgrains Yield Other Cash Crops Sugarcane,"Annual, Ending mar Of Each Year",kg/ha,2004,69065.0,True
Agricultural Production Foodgrains Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2004,3929.0,True
Agricultural Production Foodgrains Rice Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2004,8953.0,True
Agricultural Production Foodgrains Rice Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2004,3880.0,True
Agricultural Production Foodgrains Rice Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2004,5447.8,True
Agricultural Production Foodgrains Rice Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2004,5567.6,True
Agricultural Production Foodgrains Rice Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2004,6733.7,True
Agricultural Production Foodgrains Rice Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2004,9656.0,True
Agricultural Production Foodgrains Rice Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,2004,3222.8,True
Agricultural Production Foodgrains Rice Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2004,13018.8,True
Agricultural Production Foodgrains Rice Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2004,14662.3,True
Agricultural Production Foodgrains Rice Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2004,3694.0,True
Agricultural Production Foodgrains Wheat Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2004,3688.9,True
Agricultural Production Foodgrains Wheat Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2004,9114.0,True
Agricultural Production Foodgrains Wheat Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2004,7364.6,True
Agricultural Production Foodgrains Wheat Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2004,14489.0,True
Agricultural Production Foodgrains Wheat Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2004,5875.8,True
Agricultural Production Foodgrains Wheat Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2004,25566.7,True
Agricultural Production Foodgrains Wheat Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2004,3937.0,True
Agricultural Production Foodgrains Wheat Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2004,4207.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2004,3498.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2004,3346.4,True
Agricultural Production Foodgrains Coarse Cereals Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2004,3353.8,True
Agricultural Production Foodgrains Coarse Cereals Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2004,4750.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2004,9674.8,True
Agricultural Production Foodgrains Coarse Cereals Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2004,3260.7,True
Agricultural Production Plantation Crops Coconut,"Annual, Ending mar Of Each Year",Unit mn,2005,12833.0,True
Agriculture Production Foodgrains Yield Other Cash Crops Onion,"Annual, Ending mar Of Each Year",kg/ha,2005,10416.0,True
Agriculture Production Foodgrains Yield Other Cash Crops Potato,"Annual, Ending mar Of Each Year",kg/ha,2005,18386.0,True
Agriculture Production Foodgrains Yield Other Cash Crops Sugarcane,"Annual, Ending mar Of Each Year",kg/ha,2005,65945.0,True
Agricultural Production Foodgrains Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2005,4040.0,True
Agricultural Production Foodgrains Rice Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2005,9601.0,True
Agricultural Production Foodgrains Rice Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2005,3470.7,True
Agricultural Production Foodgrains Rice Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2005,4383.3,True
