Particulars,Value
Agricultural Production Foodgrains Rice Volume Punjab,10589.6
Agriculture Production Foodgrains Yield Other Cash Crops Onion,11439.57142857143
Agricultural Production Foodgrains Rice Volume Andhra Pradesh,11846.1
Agricultural Production Foodgrains Rice Volume Uttar Pradesh,12093.82
Agricultural Production Plantation Crops Coconut,13089.25
Agricultural Production Foodgrains Rice Volume West Bengal,14551.720000000001
Agricultural Production Foodgrains Wheat Volume Punjab,15476.0
Agriculture Production Foodgrains Yield Other Cash Crops Potato,17844.714285714286
Agricultural Production Foodgrains Wheat Volume Uttar Pradesh,26952.74
Agriculture Production Foodgrains Yield Other Cash Crops Sugarcane,67243.0
