Transaction_ID,Customer_ID,Purchase_Frequency,Discount,Purchase_Amount
T001,C001,3,5,4500
T002,C002,5,10,8200
T003,C003,2,0,6200
T004,C004,4,8,7100
T005,C005,7,15,12500
T006,C006,3,5,4800
T007,C007,6,12,9600
T008,C008,8,20,15000
T009,C009,4,10,7600
T010,C010,10,25,22000
T011,C011,5,10,9100
T012,C012,3,5,5200
T013,C013,9,18,16800
T014,C014,2,0,3300
T015,C015,6,15,11200
T016,C001,4,5,6000
T017,C002,7,12,11000
T018,C003,3,5,7000
T019,C005,9,20,18000
T020,C008,12,30,28000
T021,C010,11,25,25000
T022,C013,8,18,15500
T023,C015,7,15,13000
T024,C004,5,10,9000
T025,C009,6,12,9800
