Employee_ID,Working_Hours,Experience_Years,Productivity_Score,Salary,Performance_Rating
E001,40,2,72,30000,3
E002,42,3,78,35000,4
E003,38,1,65,28000,3
E004,45,5,88,50000,5
E005,41,4,81,42000,4
E006,36,2,60,32000,2
E007,44,6,90,55000,5
E008,39,3,75,38000,4
E009,32,1,48,25000,2
E010,43,7,85,60000,5
E011,37,2,67,33000,3
E012,40,4,79,45000,4
E013,46,5,92,58000,5
E014,48,8,96,70000,5
E015,35,1,58,27000,2
E016,42,3,80,40000,4
E017,41,6,87,52000,5
E018,39,2,70,36000,3
E019,34,1,55,26000,2
E020,45,5,89,56000,5
E021,43,4,84,48000,4
E022,31,2,45,24000,2
E023,44,7,91,62000,5
E024,40,3,77,39000,4
E025,38,2,69,31000,3
E026,47,9,98,75000,5
E027,36,1,57,29000,2
E028,41,4,82,46000,4
E029,39,3,73,37000,3
E030,42,6,86,54000,5
