Student_ID,Attendance,Internal_Marks,Assignment_Marks,Laboratory_Marks,Final_Score
S001,92,45,18,18,88
S002,85,42,17,17,82
S003,78,38,16,15,74
S004,95,47,19,19,92
S005,88,43,18,18,85
S006,72,35,14,14,67
S007,90,44,17,17,86
S008,81,40,16,16,77
S009,67,30,12,11,55
S010,94,46,19,19,91
S011,76,37,15,15,70
S012,89,43,18,18,84
S013,83,41,17,17,80
S014,98,49,20,20,96
S015,70,34,13,13,64
S016,86,42,17,17,82
S017,91,45,19,18,89
S018,79,39,16,15,73
S019,74,36,14,14,68
S020,96,48,19,19,94
S021,87,44,18,18,86
S022,69,32,12,12,59
S023,93,46,19,19,91
S024,82,40,16,16,76
S025,77,38,15,15,71
S026,99,50,20,20,98
S027,71,33,13,13,62
S028,84,41,17,17,80
S029,80,39,16,15,70
S030,88,43,18,18,84
