Date,Product_Category,Quantity_Sold,Revenue,Discount,Customer_Rating
2025-01-05,Electronics,120,240000,10,4.5
2025-01-12,Clothing,180,180000,20,4.2
2025-02-03,Home,95,95000,5,4.0
2025-02-18,Electronics,140,280000,15,4.6
2025-03-07,Clothing,210,210000,25,4.3
2025-03-21,Home,110,110000,8,4.1
2025-04-09,Electronics,160,320000,12,4.7
2025-04-25,Clothing,230,230000,18,4.4
2025-05-11,Home,130,130000,7,4.2
2025-05-28,Electronics,175,350000,10,4.8
2025-06-14,Clothing,250,250000,22,4.5
2025-06-30,Home,145,145000,6,4.3
